source,series,frequency_hz,sine_v_rms,input_mode,coupling,sensitivity_a,time_constant_s,settling_s,n,current_rms_a,current_sd_a,g_magnitude_s,g_sd_s,g_real_s,g_imag_s,phase_deg,pair_difference_fraction
high_gain_20260924T100005Z.jsonl,high_gain,533.0,0.004,current_1e8,DC,1e-08,0.1,1.5,3,3.18279e-09,0.0,7.956975e-07,0.0,6.457066666666667e-07,-4.651699999999999e-07,-35.769148536978335,0.0001466537924539687
high_gain_20260924T100005Z.jsonl,high_gain,700.0,0.004,current_1e8,DC,1e-08,0.1,1.5,3,2.8664366666666666e-09,5.25388744962649e-13,7.166091666666667e-07,1.3134718624066226e-10,5.181499999999999e-07,-4.951091666666666e-07,-43.69735692310709,8.160035421817316e-05
high_gain_20260924T100005Z.jsonl,high_gain,933.0,0.004,current_1e8,DC,1e-08,0.1,1.5,3,2.4685333333333332e-09,2.655811238271183e-13,6.171333333333333e-07,6.639528095677958e-11,3.766475e-07,-4.8897e-07,-52.39338751175864,0.00013317755594610925
high_gain_20260924T100005Z.jsonl,high_gain,1333.0,0.004,current_1e8,DC,1e-08,0.1,1.5,3,1.94224e-09,0.0,4.8556e-07,0.0,2.2157649999999999e-07,-4.3212499999999996e-07,-62.853054632399925,0.00012648763876462284
high_gain_20260924T100005Z.jsonl,high_gain,2333.0,0.004,current_1e8,DC,1e-08,0.1,1.5,3,1.21691e-09,0.0,3.042275e-07,0.0,6.809874999999999e-08,-2.963825e-07,-77.0599461455702,-0.00040171324623790257
high_gain_20260924T100005Z.jsonl,high_gain,3333.0,0.004,current_1e8,DC,1e-08,0.1,1.5,3,8.7039e-10,0.0,2.175975e-07,0.0,1.9895299999999997e-08,-2.1668800000000001e-07,-84.75407205787197,8.873491865875416e-06
high_gain_20260924T100005Z.jsonl,high_gain,7333.0,0.004,current_1e8,DC,1e-08,0.1,1.5,3,3.886593333333333e-10,2.626943724812648e-13,9.716483333333333e-08,6.567359312031619e-11,-1.8531075e-08,-9.534583333333333e-08,-100.99868118002233,-0.00035893310304292725
high_gain_20260924T100005Z.jsonl,high_gain,10330.0,0.004,current_1e8,DC,1e-08,0.1,1.5,3,2.70576e-10,0.0,6.7644e-08,0.0,-2.2623791666666666e-08,-6.374083333333333e-08,-109.54150614220505,-0.00010719702714012273
map_20260924T100133Z.jsonl,map,0.2,0.004,current_1e6,DC,1e-08,0.30000000000000004,15.0,3,3.956936666666667e-09,1.3900479608028766e-12,9.892341666666666e-07,3.4751199020071915e-10,9.893475e-07,7.579158333333332e-11,0.004389294801997285,0.00011456967446090887
map_20260924T100133Z.jsonl,map,0.2,0.01,current_1e6,DC,2e-08,0.30000000000000004,15.0,3,9.880203333333332e-09,2.7800959216066554e-12,9.880203333333332e-07,2.7800959216066554e-10,9.881113333333333e-07,3.334833333333333e-10,0.019337078897820097,9.216032456331325e-05
